Country,Continent,Country code,Low,Medium,High
Cuba,North America,192,-1.06,-0.56,-0.06
Curacao,North America,531,-0.28,0.16,0.6
Dominica,North America,212,-0.82,-0.28,0.26
Dominican Republic,North America,214,-0.38,0.17,0.7
Grenada,North America,308,-1.05,-0.43,0.17
Guadeloupe,North America,312,-1.04,-0.53,-0.02
Haiti,North America,332,-0.31,0.23,0.74
Jamaica,North America,388,-1.36,-0.73,-0.12
Martinique,North America,474,-1.15,-0.64,-0.14
Montserrat,North America,500,-0.72,-0.22,0.29
Puerto Rico,North America,630,-1.24,-0.7,-0.16
Saint Kitts and Nevis,North America,659,-0.58,-0.06,0.45
Saint Lucia,North America,662,-0.9,-0.39,0.13
Saint Vincent and the Grenadines,North America,670,-0.99,-0.4,0.17
Sint Maarten (Dutch part),North America,534,0.02,0.47,0.92
Trinidad and Tobago,North America,780,-1.07,-0.5,0.05
Turks and Caicos Islands,North America,796,-0.09,0.36,0.8
United States Virgin Islands,North America,850,-1.5,-0.88,-0.29
Belize,North America,84,0.28,0.77,1.24
Costa Rica,North America,188,-0.43,0.04,0.5
El Salvador,North America,222,-0.67,-0.09,0.48
Guatemala,North America,320,0.4,0.86,1.3
Honduras,North America,340,0.04,0.51,0.98
Mexico,North America,484,-0.25,0.23,0.71
Nicaragua,North America,558,-0.25,0.24,0.73
Panama,North America,591,0.13,0.59,1.04
Argentina,South America,32,-0.09,0.38,0.84
Bolivia (Plurinational State of),South America,68,0.18,0.66,1.12
Brazil,South America,76,-0.59,-0.1,0.4
Chile,South America,152,-0.44,0.03,0.49
Colombia,South America,170,-0.65,-0.14,0.37
Ecuador,South America,218,0.03,0.51,0.98
Falkland Islands (Malvinas),South America,238,-0.66,-0.19,0.27
French Guiana,South America,254,1.03,1.4,1.75
Guyana,South America,328,-0.97,-0.31,0.31
Paraguay,South America,600,-0.18,0.35,0.85
Peru,South America,604,-0.15,0.33,0.79
Suriname,South America,740,-0.55,0,0.52
Uruguay,South America,858,-0.56,-0.05,0.45
Venezuela (Bolivarian Republic of),South America,862,-0.17,0.34,0.84
Bermuda,North America,60,-1.17,-0.67,-0.16
Canada,North America,124,-0.02,0.38,0.77
Greenland,Europe,304,-0.98,-0.39,0.17
Saint Pierre and Miquelon,North America,666,-0.36,0.11,0.56
United States of America,North America,840,-0.06,0.38,0.82
Australia,Oceania,36,0.3,0.68,1.06
New Zealand,Oceania,554,-0.14,0.28,0.71
Fiji,Oceania,242,-0.69,-0.1,0.46
New Caledonia,Oceania,540,0.17,0.58,0.98
Papua New Guinea,Oceania,598,0.63,1.08,1.5
Solomon Islands,Oceania,90,0.69,1.13,1.54
Vanuatu,Oceania,548,0.71,1.15,1.58
Guam,Oceania,316,-0.44,0.06,0.55
Kiribati,Oceania,296,0.51,0.98,1.43
Marshall Islands,Oceania,584,-0.26,0.22,0.65
Micronesia (Fed. States of),Oceania,583,-0.34,0.23,0.76
Nauru,Oceania,520,-0.81,-0.29,0.22
Northern Mariana Islands,Oceania,580,-1.43,-0.87,-0.31
Palau,Oceania,585,-0.1,0.35,0.78
American Samoa,Oceania,16,-0.98,-0.31,0.3
Cook Islands,Oceania,184,-0.52,0,0.52
French Polynesia,Oceania,258,-0.45,0.03,0.51
Niue,Oceania,570,-0.31,0.21,0.69
Samoa,Oceania,882,-0.13,0.4,0.88
Tokelau,Oceania,772,-0.28,0.24,0.78
Tonga,Oceania,776,-0.08,0.44,0.93
Tuvalu,Oceania,798,0.07,0.63,1.14
Wallis and Futuna Islands,Oceania,876,-0.72,-0.19,0.33
