"","Country","Mammals","Birds","Reptiles","Amphibians","Fishes","Molluscs","Total","Continent","Low","Medium","High"
"149","Canada",18,24,6,1,44,17,155,"North America",-0.02,0.38,0.77
"150","Cayman Islands",1,3,7,0,31,1,75,"North America",0.03,0.45,0.87
"151","Costa Rica",11,27,12,61,64,1,349,"North America",-0.43,0.04,0.5
"152","Cuba",10,19,24,49,44,0,348,"North America",-1.06,-0.56,-0.06
"153","Curacao",3,2,5,0,28,0,51,"North America",-0.28,0.16,0.6
"154","Dominica",3,7,3,2,31,0,69,"North America",-0.82,-0.28,0.26
"155","Dominican Republic",7,17,47,32,29,0,195,"North America",-0.38,0.17,0.7
"156","El Salvador",6,7,10,9,17,0,92,"North America",-0.67,-0.09,0.48
"157","Grenada",3,2,7,1,29,0,55,"North America",-1.05,-0.43,0.17
"158","Guadeloupe",4,5,9,3,31,1,78,"North America",-1.04,-0.53,-0.02
"159","Guatemala",15,17,32,77,41,2,315,"North America",0.4,0.86,1.3
"160","Haiti",4,17,54,49,30,0,261,"North America",-0.31,0.23,0.74
"161","Honduras",8,14,40,55,45,0,317,"North America",0.04,0.51,0.98
"162","Jamaica",7,11,25,15,30,0,318,"North America",-1.36,-0.73,-0.12
"163","Martinique",1,6,8,2,26,2,54,"North America",-1.15,-0.64,-0.14
"164","Mexico",96,71,98,219,181,8,1261,"North America",-0.25,0.23,0.71
"165","Montserrat",2,4,4,1,30,0,58,"North America",-0.72,-0.22,0.29
"166","Nicaragua",7,17,9,10,40,2,153,"North America",-0.25,0.24,0.73
"167","Panama",17,25,10,49,57,0,392,"North America",0.13,0.59,1.04
"168","Puerto Rico",2,11,16,14,32,0,139,"North America",-1.24,-0.7,-0.16
"169","Saint Kitts and Nevis",2,3,6,1,30,0,54,"North America",-0.58,-0.06,0.45
"170","Saint Lucia",2,7,7,0,30,0,64,"North America",-0.9,-0.39,0.13
"171","Saint Pierre and Miquelon",4,9,0,0,3,0,16,"North America",-0.36,0.11,0.56
"172","Saint Vincent and the Grenadines",2,4,8,1,29,0,60,"North America",-0.99,-0.4,0.17
"173","Sint Maarten (Dutch part)",2,1,8,0,31,0,55,"North America",0.02,0.47,0.92
"174","Trinidad and Tobago",2,5,7,8,37,0,119,"North America",-1.07,-0.5,0.05
"175","Turks and Caicos Islands",2,4,7,0,30,0,62,"North America",-0.09,0.36,0.8
"176","American Samoa",1,8,6,0,12,5,93,"Oceania",-0.98,-0.31,0.3
"177","Australia",63,52,75,47,125,174,1005,"Oceania",0.3,0.68,1.06
